Team,W,L,ERA,SO,WHIP,FIP
Giants,64,98,4.5,1234,1.38,4.22
Rockies,87,75,4.51,1270,1.38,4.32
Phillies,66,96,4.57,1309,1.39,4.56
Twins,85,77,4.6,1166,1.37,4.71
Royals,80,82,4.63,1216,1.39,4.43
Athletics,75,87,4.67,1202,1.36,4.57
Padres,71,91,4.7,1325,1.38,4.68
Rangers,78,84,4.7,1107,1.4,4.88
Braves,72,90,4.72,1258,1.42,4.51
White Sox,67,95,4.78,1193,1.42,5.17
Marlins,77,85,4.82,1202,1.44,4.69
Orioles,75,87,4.97,1233,1.45,4.96
Mets,70,92,5.01,1374,1.49,4.59
Reds,68,94,5.17,1300,1.45,5.08
Tigers,64,98,5.36,1202,1.5,4.73
