Team,W,L,ERA,SO,WHIP,FIP
Phillies,80,81,4.17,1075,1.35,4.18
Pirates,72,89,4.24,920,1.43,4.49
Reds,78,84,4.29,980,1.41,4.41
Cubs,67,95,4.3,1333,1.37,4
Marlins,79,83,4.36,1104,1.43,4.21
Orioles,67,95,4.46,967,1.41,4.74
White Sox,81,81,4.57,945,1.37,4.61
Padres,66,96,4.66,1108,1.46,4.37
Brewers,56,106,4.76,1026,1.49,4.86
Blue Jays,78,84,4.81,991,1.46,4.56
Indians,74,88,4.91,1058,1.48,4.16
Tigers,55,106,4.94,794,1.45,4.45
Rangers,72,90,5.16,1030,1.53,4.84
Royals,62,100,5.21,909,1.5,4.91
Rockies,73,89,5.21,920,1.5,5.08
Devil Rays,55,106,5.29,925,1.52,5.11
Dodgers,85,77,3.16,1289,1.22,3.56
Athletics,96,66,3.63,1018,1.27,4.03
Giants,100,61,3.73,1006,1.32,4.09
Mariners,93,69,3.76,1001,1.25,4.29
Cubs,88,74,3.83,1404,1.32,3.8
Diamondbacks,84,78,3.84,1291,1.31,3.83
Astros,87,75,3.87,1139,1.32,4.23
Expos,83,79,4.01,1028,1.34,4.35
Yankees,101,61,4.03,1119,1.29,3.66
Marlins,91,71,4.04,1132,1.35,3.8
Phillies,86,76,4.06,1060,1.33,4.12
Braves,101,61,4.1,992,1.36,4.21
White Sox,86,76,4.17,1056,1.32,4.22
Indians,68,94,4.21,943,1.36,4.49
Angels,77,85,4.28,980,1.35,4.57
Twins,90,72,4.41,997,1.32,4.26
Red Sox,95,67,4.49,1141,1.36,3.99
Mets,66,95,4.5,907,1.47,4.61
Cardinals,85,77,4.62,969,1.4,4.75
Pirates,75,87,4.65,926,1.4,4.52
Blue Jays,86,76,4.69,984,1.43,4.46
Orioles,71,91,4.76,981,1.45,4.71
Padres,64,98,4.87,1091,1.45,4.81
Devil Rays,63,99,4.93,877,1.46,5.12
Brewers,68,94,5.03,1034,1.49,4.88
Royals,83,79,5.07,865,1.48,4.86
Reds,69,93,5.09,932,1.5,4.94
Rockies,74,88,5.24,866,1.54,4.99
Tigers,43,119,5.32,764,1.51,5.01
Rangers,71,91,5.69,1009,1.55,4.9
Cardinals,105,57,3.75,1041,1.25,4.17
Braves,96,66,3.75,1025,1.38,4.15
Cubs,89,73,3.83,1346,1.3,3.98
Dodgers,93,69,4.01,1066,1.31,4.36
Padres,87,75,4.03,1079,1.31,4.19
Twins,92,70,4.04,1123,1.32,3.98
Astros,92,70,4.05,1282,1.35,4.07
Marlins,83,79,4.1,1116,1.33,4.17
Mets,71,91,4.1,977,1.41,4.43
Athletics,91,71,4.17,1034,1.37,4.34
Red Sox,98,64,4.19,1132,1.29,4.03
Brewers,67,94,4.26,1098,1.33,4.1
Angels,92,70,4.28,1164,1.36,4.09
Pirates,72,89,4.31,1079,1.42,4.24
Expos,67,95,4.33,1032,1.42,4.71
